1,1,4,1,1,1,1,1,3,3,4,1,1
2,0,1,1,1,0,1,3,3,4,0,1,1
3,1,1,1,1,1,1,3,1,1,1,1,1
4,1,1,3,4,3,1,1,1,4,4,1,4
5,1,1,1,1,1,1,3,1,4,1,1,1
6,3,1,1,1,1,3,4,3,1,1,3,4
7,1,1,4,4,4,1,1,1,1,3,3,1
8,1,3,4,4,1,1,1,3,4,4,1,3
9,1,1,4,1,1,1,1,1,1,1,3,4
10,4,1,1,1,3,1,1,1,1,1,3,1
11,1,1,1,1,1,3,1,1,3,1,1,1
12,3,4,3,4,4,1,1,3,1,3,1,1
13,4,1,1,3,1,4,3,1,3,1,1,1
14,1,1,3,1,1,4,1,1,4,1,3,4
15,4,1,3,3,1,1,4,1,1,1,1,1
16,1,1,1,1,3,1,4,3,1,3,4,4
17,3,3,3,4,3,4,1,1,1,4,1,1
18,1,1,1,1,3,1,4,4,1,1,1,1
19,1,1,1,3,3,1,1,1,4,1,1,4
20,4,1,4,1,3,1,1,1,1,4,1,1
