1,3,2,3,3,3,3,3,3,3,2,3,3
2,0,3,3,3,0,3,3,3,2,0,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,3,3,2,3,3,3,3,2,2,3,2
5,3,3,3,3,3,3,3,3,2,3,3,3
6,3,3,3,3,3,3,2,3,3,3,3,2
7,3,3,2,2,2,3,3,3,3,3,3,3
8,3,3,2,2,3,3,3,3,2,2,3,3
9,3,3,2,3,3,3,3,3,3,3,3,2
10,2,3,3,3,3,3,3,3,3,3,3,3
11,3,3,3,3,3,3,3,3,3,3,3,3
12,3,2,3,2,2,3,3,3,3,3,3,3
13,2,3,3,3,3,2,3,3,3,3,3,3
14,3,3,3,3,3,2,3,3,2,3,3,2
15,2,3,3,3,3,3,2,3,3,3,3,3
16,3,3,3,3,3,3,2,3,3,3,2,2
17,3,3,3,2,3,2,3,3,3,2,3,3
18,3,3,3,3,3,3,2,2,3,3,3,3
19,3,3,3,3,3,3,3,3,2,3,3,2
20,2,3,2,3,3,3,3,3,3,2,3,3
