1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,4,0,0,0,4,4,0,0,0,4,0,0,0,4
3,4,4,4,4,4,4,4,4,4,0,4,4,4,4
4,0,4,4,4,4,4,0,4,4,4,4,4,4,4
5,4,4,4,0,4,4,4,0,4,4,4,4,4,4
6,4,4,4,4,4,4,0,0,4,4,4,4,4,4
7,0,0,4,4,4,4,4,4,4,4,0,4,4,4
8,4,4,4,4,0,4,4,0,4,4,0,4,4,4
9,0,4,4,4,0,4,4,4,0,4,0,4,4,0
10,4,4,4,0,4,4,4,0,4,4,4,4,4,4
11,4,4,4,4,4,0,4,4,4,4,4,4,0,0
12,4,4,4,4,0,4,4,4,4,4,4,4,4,4
13,0,4,4,4,0,4,0,4,4,4,4,0,4,4
14,4,4,4,4,4,4,4,4,4,4,0,4,4,4
15,4,4,4,4,4,4,4,4,4,4,4,4,0,0
16,4,4,4,4,4,4,4,4,4,4,0,4,4,4
17,4,4,4,4,4,4,4,0,0,0,4,4,4,4
18,4,4,0,4,4,4,4,4,0,4,4,4,4,4
19,4,4,4,4,0,4,4,4,4,4,4,0,4,4
20,4,4,4,4,4,4,4,4,0,0,4,0,4,4
