1,0.91,8.18,16.36,10.91,11.82,10.91,8.18
2,4.88,16.97,15.68,25.19,23.91,13.88,10.28
3,2.8,31.47,29.37,30.77,22.38,20.28,14.69
4,7.22,27.84,24.74,19.59,28.87,28.87,28.87
5,12.73,30,17.27,24.55,53.64,29.09,10.91
6,5.47,43.52,27.33,33.81,36.23,23.48,14.78
7,1.53,49.49,31.63,28.06,25.51,31.12,19.39
8,6.5,42.28,34.96,30.08,33.33,26.83,14.63
9,2.24,39.55,41.79,32.09,34.33,40.3,18.66
10,6.45,38.71,46.24,41.94,40.86,39.78,21.51
11,5.31,47.5,50.31,54.37,46.87,36.25,16.87
12,3.03,69.7,49.49,55.56,42.42,14.14,27.27
13,8.83,57.29,56.47,41.27,39.84,43.94,29.57
14,3.08,85.77,84.62,30,30,46.54,10.38
15,14.29,61.54,59.34,39.56,40.66,38.46,41.76
16,4.35,45.22,59.13,63.48,63.48,43.48,22.61
17,4.11,60.96,62.33,67.12,49.32,50.68,23.63
18,11.82,86.36,84.55,31.82,32.73,56.36,15.45
19,3.92,71.57,71.08,34.8,27.45,74.02,50
20,7.96,69.91,69.03,69.03,66.37,61.95,27.43
