1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,3,0,0,0,3,3,0,0,0,3,0,0,0,3
3,3,3,3,3,3,3,3,3,3,0,3,3,3,3
4,0,3,3,3,3,3,0,3,3,3,3,3,3,3
5,3,3,3,0,3,3,3,0,3,3,3,3,3,3
6,3,3,3,3,3,3,0,0,3,3,3,3,3,3
7,0,0,3,3,3,3,3,3,3,3,0,3,3,3
8,3,3,3,3,0,3,3,0,3,3,0,3,3,3
9,0,3,3,3,0,3,3,3,0,3,0,3,3,0
10,3,3,3,0,3,3,3,0,3,3,3,3,3,3
11,3,3,3,3,3,0,3,3,3,3,3,3,0,0
12,3,3,3,3,0,3,3,3,3,3,3,3,3,3
13,0,3,3,3,0,3,0,3,3,3,3,0,3,3
14,3,3,3,3,3,3,3,3,3,3,0,3,3,3
15,3,3,3,3,3,3,3,3,3,3,3,3,0,0
16,3,3,3,3,3,3,3,3,3,3,0,3,3,3
17,3,3,3,3,3,3,3,0,0,0,3,3,3,3
18,3,3,0,3,3,3,3,3,0,3,3,3,3,3
19,3,3,3,3,0,3,3,3,3,3,3,0,3,3
20,3,3,3,3,3,3,3,3,0,0,3,0,3,3
