1,4,3,4,4,4,4,4,4,4,3,4,4
2,0,4,4,4,0,4,4,4,3,0,4,4
3,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,3,4,4,4,4,3,3,4,3
5,4,4,4,4,4,4,4,4,3,4,4,4
6,4,4,4,4,4,4,3,4,4,4,4,3
7,4,4,3,3,3,4,4,4,4,4,4,4
8,4,4,3,3,4,4,4,4,3,3,4,4
9,4,4,3,4,4,4,4,4,4,4,4,3
10,3,4,4,4,4,4,4,4,4,4,4,4
11,4,4,4,4,4,4,4,4,4,4,4,4
12,4,3,4,3,3,4,4,4,4,4,4,4
13,3,4,4,4,4,3,4,4,4,4,4,4
14,4,4,4,4,4,3,4,4,3,4,4,3
15,3,4,4,4,4,4,3,4,4,4,4,4
16,4,4,4,4,4,4,3,4,4,4,3,3
17,4,4,4,3,4,3,4,4,4,3,4,4
18,4,4,4,4,4,4,3,3,4,4,4,4
19,4,4,4,4,4,4,4,4,3,4,4,3
20,3,4,3,4,4,4,4,4,4,3,4,4
